trip_id,stop_id,arrival_time,departure_time,timestamp
block_100_trip_15_service_1,stop_439_62002,,2025-04-28 22:52:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_892_125502,2025-04-28 22:53:00,2025-04-28 22:53:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_438_61902,2025-04-28 22:54:00,2025-04-28 22:54:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_432_61006,2025-04-28 22:56:00,2025-04-28 22:56:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_1200_280802,2025-04-28 22:57:00,2025-04-28 22:57:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_2108_333804,2025-04-28 22:59:00,2025-04-28 22:59:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_240_32602,2025-04-28 23:00:00,2025-04-28 23:00:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_237_31903,2025-04-28 23:01:00,2025-04-28 23:01:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_1654_314105,2025-04-28 23:02:00,2025-04-28 23:02:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_57_8101,2025-04-28 23:04:00,2025-04-28 23:04:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_58_8204,2025-04-28 23:06:00,2025-04-28 23:06:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_60_8404,2025-04-28 23:08:00,2025-04-28 23:08:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_65_9002,2025-04-28 23:10:00,2025-04-28 23:10:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_1535_306901,2025-04-28 23:11:00,2025-04-28 23:11:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_39_5701,2025-04-28 23:13:00,2025-04-28 23:13:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_38_5601,2025-04-28 23:14:00,2025-04-28 23:14:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_1019_252802,2025-04-28 23:16:00,2025-04-28 23:16:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_32_4302,2025-04-28 23:17:00,2025-04-28 23:17:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_3079_378702,2025-04-28 23:18:00,2025-04-28 23:18:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_2960_372304,2025-04-28 23:19:00,2025-04-28 23:19:00,2025-04-28 22:54:04.621381
block_100_trip_15_service_1,stop_1018_252702,2025-04-28 23:20:00,,2025-04-28 22:54:04.621381
block_191_trip_20_service_1,stop_51_7306,2025-04-28 22:51:39,2025-04-28 22:51:39,2025-04-28 22:54:04.621381
block_191_trip_20_service_1,stop_1089_260807,2025-04-28 22:53:39,,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_1089_260807,,2025-04-28 22:56:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_51_7301,2025-04-28 22:57:00,2025-04-28 22:57:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_50_7104,2025-04-28 23:00:00,2025-04-28 23:00:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_2616_363802,2025-04-28 23:01:00,2025-04-28 23:01:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_55_7904,2025-04-28 23:03:00,2025-04-28 23:03:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_1626_311102,2025-04-28 23:05:00,2025-04-28 23:05:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_1654_314104,2025-04-28 23:06:00,2025-04-28 23:06:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_237_31904,2025-04-28 23:07:00,2025-04-28 23:07:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_240_32601,2025-04-28 23:08:00,2025-04-28 23:08:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_2108_333803,2025-04-28 23:10:00,2025-04-28 23:10:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_1200_280801,2025-04-28 23:11:00,2025-04-28 23:11:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_432_61003,2025-04-28 23:13:00,2025-04-28 23:13:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_438_61901,2025-04-28 23:15:00,2025-04-28 23:15:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_892_125501,2025-04-28 23:16:00,2025-04-28 23:16:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_439_62001,2025-04-28 23:17:00,2025-04-28 23:17:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_445_62802,2025-04-28 23:18:00,2025-04-28 23:18:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_891_125404,2025-04-28 23:19:00,2025-04-28 23:19:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_2596_362002,2025-04-28 23:21:00,2025-04-28 23:21:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_641_92301,2025-04-28 23:22:00,2025-04-28 23:22:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_1749_317602,2025-04-28 23:23:00,2025-04-28 23:23:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_526_74302,2025-04-28 23:24:00,2025-04-28 23:24:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_524_74102,2025-04-28 23:25:00,2025-04-28 23:25:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_499_71102,2025-04-28 23:26:00,2025-04-28 23:26:00,2025-04-28 22:54:04.621381
block_191_trip_21_service_1,stop_498_71002,2025-04-28 23:27:00,,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_2108_333803,2025-04-28 22:51:44,2025-04-28 22:52:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_1200_280801,2025-04-28 22:53:00,2025-04-28 22:53:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_432_61003,2025-04-28 22:55:00,2025-04-28 22:55:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_438_61901,2025-04-28 22:57:00,2025-04-28 22:57:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_892_125501,2025-04-28 22:58:00,2025-04-28 22:58:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_439_62001,2025-04-28 22:59:00,2025-04-28 22:59:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_444_62601,2025-04-28 23:00:00,2025-04-28 23:00:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_443_62503,2025-04-28 23:01:00,2025-04-28 23:01:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_447_63009,2025-04-28 23:03:00,2025-04-28 23:03:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_450_63403,2025-04-28 23:04:00,2025-04-28 23:04:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_484_68204,2025-04-28 23:06:00,2025-04-28 23:06:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_483_68104,2025-04-28 23:07:00,2025-04-28 23:07:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_1064_258204,2025-04-28 23:08:00,2025-04-28 23:08:00,2025-04-28 22:54:04.621381
block_170_trip_15_service_1,stop_1063_258102,2025-04-28 23:10:00,,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_36_5401,,2025-04-28 23:11:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_580_82202,2025-04-28 23:13:00,2025-04-28 23:13:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_7_1203,2025-04-28 23:15:00,2025-04-28 23:15:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_2309_345907,2025-04-28 23:16:00,2025-04-28 23:16:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_105_13701,2025-04-28 23:17:00,2025-04-28 23:17:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1024_253301,2025-04-28 23:19:00,2025-04-28 23:19:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1021_253001,2025-04-28 23:20:00,2025-04-28 23:20:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_61_8501,2025-04-28 23:22:00,2025-04-28 23:22:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1230_287802,2025-04-28 23:24:00,2025-04-28 23:24:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_57_8102,2025-04-28 23:25:00,2025-04-28 23:25:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1626_311102,2025-04-28 23:27:00,2025-04-28 23:27:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1654_314104,2025-04-28 23:28:00,2025-04-28 23:28:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_237_31904,2025-04-28 23:29:00,2025-04-28 23:29:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_240_32601,2025-04-28 23:30:00,2025-04-28 23:30:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_2108_333803,2025-04-28 23:32:00,2025-04-28 23:32:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_1200_280801,2025-04-28 23:33:00,2025-04-28 23:33:00,2025-04-28 22:54:04.621381
block_172_trip_17_service_1,stop_432_61003,2025-04-28 23:35:00,,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_2962_372502,2025-04-28 22:52:46,2025-04-28 22:52:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_3248_386402,2025-04-28 22:53:46,2025-04-28 22:53:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_2958_372102,2025-04-28 22:54:46,2025-04-28 22:54:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_24_3306,2025-04-28 22:55:46,2025-04-28 22:55:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_27_3602,2025-04-28 22:56:46,2025-04-28 22:56:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_28_3701,2025-04-28 22:57:46,2025-04-28 22:57:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_29_3801,2025-04-28 22:58:46,2025-04-28 22:58:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_66_9202,2025-04-28 23:00:46,2025-04-28 23:00:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_2339_346902,2025-04-28 23:01:46,2025-04-28 23:01:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_92_12202,2025-04-28 23:02:46,2025-04-28 23:02:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_1022_253102,2025-04-28 23:03:46,2025-04-28 23:03:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_50_7104,2025-04-28 23:05:46,2025-04-28 23:05:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_2616_363802,2025-04-28 23:06:46,2025-04-28 23:06:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_55_7904,2025-04-28 23:08:46,2025-04-28 23:08:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_1626_311102,2025-04-28 23:10:46,2025-04-28 23:10:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_1654_314104,2025-04-28 23:11:46,2025-04-28 23:11:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_237_31904,2025-04-28 23:12:46,2025-04-28 23:12:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_240_32601,2025-04-28 23:13:46,2025-04-28 23:13:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_2108_333803,2025-04-28 23:15:46,2025-04-28 23:15:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_1200_280801,2025-04-28 23:16:46,2025-04-28 23:16:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_432_61003,2025-04-28 23:18:46,2025-04-28 23:18:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_438_61901,2025-04-28 23:20:46,2025-04-28 23:20:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_892_125501,2025-04-28 23:21:46,2025-04-28 23:21:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_439_62001,2025-04-28 23:22:46,2025-04-28 23:22:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_444_62601,2025-04-28 23:23:46,2025-04-28 23:23:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_443_62501,2025-04-28 23:24:46,2025-04-28 23:24:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_1055_257102,2025-04-28 23:25:46,2025-04-28 23:25:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_611_88002,2025-04-28 23:26:46,2025-04-28 23:26:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_446_62903,2025-04-28 23:27:46,2025-04-28 23:27:46,2025-04-28 22:54:04.621381
block_146_trip_15_service_1,stop_891_125404,2025-04-28 23:28:46,,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_1021_253002,2025-04-28 22:51:45,2025-04-28 22:51:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_1024_253302,2025-04-28 22:52:45,2025-04-28 22:52:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_105_13702,2025-04-28 22:54:45,2025-04-28 22:54:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2309_345906,2025-04-28 22:55:45,2025-04-28 22:55:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2309_345903,2025-04-28 22:56:45,2025-04-28 22:56:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_103_13507,2025-04-28 22:57:45,2025-04-28 22:57:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2537_358801,2025-04-28 22:58:45,2025-04-28 22:58:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_1015_252401,2025-04-28 22:59:45,2025-04-28 22:59:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_3_501,2025-04-28 23:00:45,2025-04-28 23:00:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_1260_290801,2025-04-28 23:01:45,2025-04-28 23:01:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_1261_290901,2025-04-28 23:02:45,2025-04-28 23:02:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_4_701,2025-04-28 23:03:45,2025-04-28 23:03:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2513_356401,2025-04-28 23:04:45,2025-04-28 23:04:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2514_356501,2025-04-28 23:05:45,2025-04-28 23:05:45,2025-04-28 22:54:04.621381
block_140_trip_18_service_1,stop_2512_356001,2025-04-28 23:07:45,,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_447_63009,2025-04-28 22:56:23,2025-04-28 22:56:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_450_63403,2025-04-28 22:57:23,2025-04-28 22:57:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_484_68205,2025-04-28 22:59:23,2025-04-28 22:59:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_1068_258601,2025-04-28 23:01:23,2025-04-28 23:01:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_1642_312703,2025-04-28 23:03:23,2025-04-28 23:03:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_792_112201,2025-04-28 23:04:23,2025-04-28 23:04:23,2025-04-28 22:54:04.621381
block_492_trip_15_service_1,stop_1063_258102,2025-04-28 23:05:23,,2025-04-28 22:54:04.621381
block_485_trip_16_service_1,stop_1196_279601,2025-04-28 22:51:42,2025-04-28 22:51:42,2025-04-28 22:54:04.621381
block_485_trip_16_service_1,stop_3077_378504,2025-04-28 22:53:42,,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_3077_378504,,2025-04-28 23:03:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_3077_378502,2025-04-28 23:04:00,2025-04-28 23:04:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_1196_279603,2025-04-28 23:05:00,2025-04-28 23:05:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_2964_372701,2025-04-28 23:06:00,2025-04-28 23:06:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_2962_372502,2025-04-28 23:08:00,2025-04-28 23:08:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_1628_311304,2025-04-28 23:10:00,2025-04-28 23:10:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_66_9202,2025-04-28 23:12:00,2025-04-28 23:12:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_2339_346902,2025-04-28 23:13:00,2025-04-28 23:13:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_92_12202,2025-04-28 23:14:00,2025-04-28 23:14:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_50_7104,2025-04-28 23:17:00,2025-04-28 23:17:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_55_7904,2025-04-28 23:20:00,2025-04-28 23:20:00,2025-04-28 22:54:04.621381
block_485_trip_17_service_1,stop_1626_311102,2025-04-28 23:22:00,2025-04-28 23:22:00,2025-04-28 22:54:04.621381
