trip_id,stop_id,arrival_time,departure_time,timestamp
block_56_trip_19_service_1,stop_815_115501,2025-04-28 22:58:42,2025-04-28 22:58:42,2025-04-28 22:59:11.801836
block_56_trip_19_service_1,stop_2962_372501,2025-04-28 23:01:42,2025-04-28 23:01:42,2025-04-28 22:59:11.801836
block_56_trip_19_service_1,stop_1196_279604,2025-04-28 23:03:42,2025-04-28 23:03:42,2025-04-28 22:59:11.801836
block_56_trip_19_service_1,stop_3099_373103,2025-04-28 23:04:42,2025-04-28 23:04:42,2025-04-28 22:59:11.801836
block_56_trip_19_service_1,stop_3077_378504,2025-04-28 23:06:42,,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_499_71101,2025-04-28 22:59:04,2025-04-28 22:59:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_524_74101,2025-04-28 23:00:04,2025-04-28 23:00:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_526_74301,2025-04-28 23:01:04,2025-04-28 23:01:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_1749_317604,2025-04-28 23:03:04,2025-04-28 23:03:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_641_92302,2025-04-28 23:04:04,2025-04-28 23:04:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_2596_362001,2025-04-28 23:05:04,2025-04-28 23:05:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_446_62903,2025-04-28 23:06:04,2025-04-28 23:06:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_891_125403,2025-04-28 23:07:04,2025-04-28 23:07:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_445_62801,2025-04-28 23:08:04,2025-04-28 23:08:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_439_62002,2025-04-28 23:09:04,2025-04-28 23:09:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_892_125502,2025-04-28 23:10:04,2025-04-28 23:10:04,2025-04-28 22:59:11.801836
block_199_trip_22_service_1,stop_438_61902,2025-04-28 23:11:04,2025-04-28 23:11:04,2025-04-28 22:59:11.801836
