vehicle_id,trip_id,route_id,latitude,longitude,bearing,speed,timestamp,stop_id,current_stop_sequence,current_date,day
8,block_96_trip_17_service_1,,50.06834030151367,19.913368225097656,180.0,0.0,2025-04-28 22:51:09,stop_58_8201,9,2025-04-28,1
16,block_100_trip_15_service_1,,50.02907180786133,19.957326889038086,270.0,0.0,2025-04-28 22:51:14,stop_439_62002,8,2025-04-28,1
17,block_104_trip_14_service_1,,50.0269775390625,19.966909408569336,90.0,0.0,2025-04-28 22:51:11,stop_443_62503,23,2025-04-28,1
19,block_136_trip_16_service_1,,50.023651123046875,19.960311889648438,180.0,0.0,2025-04-28 22:51:12,stop_891_125404,26,2025-04-28,1
20,block_137_trip_17_service_1,,50.070892333984375,19.895174026489258,135.0,0.0,2025-04-28 22:51:06,stop_1021_253001,13,2025-04-28,1
21,block_191_trip_20_service_1,,50.0728759765625,19.943714141845703,90.0,0.0,2025-04-28 22:51:07,stop_51_7306,23,2025-04-28,1
23,block_141_trip_18_service_1,,50.01752471923828,19.963056564331055,0.0,0.0,2025-04-28 22:51:09,stop_446_62903,2,2025-04-28,1
24,block_194_trip_18_service_1,,50.05647659301758,19.9271183013916,0.0,0.0,2025-04-28 22:51:12,stop_237_31903,18,2025-04-28,1
29,block_170_trip_15_service_1,,50.04925537109375,19.93145751953125,180.0,0.0,2025-04-28 22:51:07,stop_2108_333803,14,2025-04-28,1
33,block_171_trip_17_service_1,,50.09002685546875,19.9088191986084,180.0,0.0,2025-04-28 22:51:11,stop_580_82202,1,2025-04-28,1
34,block_172_trip_17_service_1,,50.08665466308594,19.908889770507812,180.0,0.0,2025-04-28 22:51:11,stop_36_5401,1,2025-04-28,1
37,block_174_trip_16_service_1,,50.05269241333008,19.929306030273438,315.0,0.0,2025-04-28 22:51:06,stop_240_32602,15,2025-04-28,1
43,block_146_trip_15_service_1,,50.09925079345703,19.96441078186035,180.0,0.0,2025-04-28 22:51:07,stop_2962_372502,4,2025-04-28,1
46,block_196_trip_21_service_1,,50.008277893066406,19.948368072509766,0.0,0.0,2025-04-28 22:51:11,stop_526_74301,3,2025-04-28,1
47,block_199_trip_22_service_1,,50.00456237792969,19.95979118347168,90.0,0.0,2025-04-28 22:51:10,stop_499_71101,1,2025-04-28,1
50,block_140_trip_18_service_1,,50.070552825927734,19.901561737060547,270.0,0.0,2025-04-28 22:51:10,stop_1021_253002,15,2025-04-28,1
51,block_203_trip_19_service_1,,50.04939270019531,19.93145751953125,180.0,0.0,2025-04-28 22:51:07,stop_2108_333803,9,2025-04-28,1
56,block_488_trip_15_service_1,,50.012672424316406,20.01565933227539,180.0,0.0,2025-04-28 22:51:05,stop_1063_258102,1,2025-04-28,1
58,block_492_trip_15_service_1,,50.033809661865234,19.945833206176758,135.0,0.0,2025-04-28 22:51:05,stop_447_63009,16,2025-04-28,1
61,block_485_trip_16_service_1,,50.09913635253906,19.962326049804688,0.0,0.0,2025-04-28 22:51:08,stop_1196_279601,19,2025-04-28,1
71,block_200_trip_19_service_1,,50.00556564331055,19.953367233276367,90.0,0.0,2025-04-28 22:51:11,stop_499_71102,22,2025-04-28,1
75,block_155_trip_18_service_1,,50.07332992553711,19.93427085876465,90.0,0.0,2025-04-28 22:51:12,stop_50_7103,23,2025-04-28,1
76,block_153_trip_19_service_1,,50.06617736816406,19.924409866333008,180.0,0.0,2025-04-28 22:51:07,stop_1626_311102,18,2025-04-28,1
78,block_151_trip_19_service_1,,50.02775192260742,19.963056564331055,270.0,0.0,2025-04-28 22:51:14,stop_439_62002,6,2025-04-28,1
79,block_149_trip_20_service_1,,50.104740142822266,19.962568283081055,180.0,0.0,2025-04-28 22:51:07,stop_3077_378504,31,2025-04-28,1
80,block_148_trip_19_service_1,,50.023311614990234,19.967985153198242,225.0,0.0,2025-04-28 22:51:06,stop_611_88002,31,2025-04-28,1
115,block_349_trip_29_service_1,,50.12123107910156,20.050729751586914,90.0,0.0,2025-04-28 22:51:11,stop_1333_298802,1,2025-04-28,1
118,block_406_trip_24_service_1,,50.112030029296875,19.977083206176758,135.0,0.0,2025-04-28 22:51:11,stop_2297_344301,7,2025-04-28,1
125,block_117_trip_35_service_1,,50.01246643066406,20.01559066772461,180.0,0.0,2025-04-28 22:51:14,stop_482_67904,1,2025-04-28,1
132,block_24_trip_48_service_1,,49.98648452758789,19.91392707824707,0.0,0.0,2025-04-28 22:51:04,stop_543_76101,6,2025-04-28,1
134,block_26_trip_27_service_1,,50.07499313354492,20.034027099609375,45.0,0.0,2025-04-28 22:51:06,stop_300_41501,20,2025-04-28,1
139,block_27_trip_28_service_1,,50.09312438964844,20.062395095825195,45.0,0.0,2025-04-28 22:51:08,stop_321_44202,15,2025-04-28,1
144,block_393_trip_24_service_1,,50.152618408203125,19.952917098999023,315.0,0.0,2025-04-28 22:51:12,stop_2126_335503,13,2025-04-28,1
145,block_130_trip_20_service_1,,50.07283020019531,20.117708206176758,90.0,0.0,2025-04-28 22:51:06,stop_2810_368002,1,2025-04-28,1
224,block_411_trip_28_service_1,,50.070255279541016,19.856910705566406,270.0,0.0,2025-04-28 22:51:06,stop_118_15104,6,2025-04-28,1
229,block_346_trip_15_service_1,,50.023494720458984,19.79597282409668,135.0,0.0,2025-04-28 22:51:13,stop_2180_338902,23,2025-04-28,1
230,block_413_trip_27_service_1,,50.05891036987305,19.923542022705078,90.0,0.0,2025-04-28 22:51:10,stop_1654_314104,4,2025-04-28,1
231,block_412_trip_27_service_1,,50.046112060546875,19.932950973510742,180.0,0.0,2025-04-28 22:51:14,stop_2108_333802,1,2025-04-28,1
232,block_414_trip_27_service_1,,50.07168960571289,19.800174713134766,270.0,0.0,2025-04-28 22:51:07,stop_1215_286101,1,2025-04-28,1
233,block_216_trip_44_service_1,,50.00044250488281,19.899410247802734,225.0,0.0,2025-04-28 22:51:10,stop_3160_384002,12,2025-04-28,1
234,block_223_trip_23_service_1,,50.05852508544922,19.919374465942383,270.0,0.0,2025-04-28 22:51:10,stop_235_31702,7,2025-04-28,1
237,block_116_trip_30_service_1,,50.00932312011719,20.003541946411133,270.0,0.0,2025-04-28 22:51:09,stop_2174_338301,1,2025-04-28,1
238,block_266_trip_17_service_1,,50.01465606689453,19.998750686645508,315.0,0.0,2025-04-28 22:51:14,stop_484_68206,8,2025-04-28,1
239,block_366_trip_24_service_1,,50.01775360107422,19.88944435119629,225.0,0.0,2025-04-28 22:51:13,stop_1362_303802,1,2025-04-28,1
242,block_126_trip_24_service_1,,50.04241943359375,19.964513778686523,0.0,0.0,2025-04-28 22:51:09,stop_1731_315808,1,2025-04-28,1
243,block_131_trip_29_service_1,,49.968482971191406,19.830034255981445,135.0,0.0,2025-04-28 22:51:05,stop_549_77901,14,2025-04-28,1
244,block_322_trip_18_service_1,,50.011512756347656,19.926389694213867,45.0,0.0,2025-04-28 22:51:06,stop_530_74704,1,2025-04-28,1
245,block_291_trip_21_service_1,,50.04606628417969,19.932777404785156,180.0,0.0,2025-04-28 22:51:10,stop_1201_281201,1,2025-04-28,1
246,block_345_trip_15_service_1,,50.052513122558594,19.914306640625,90.0,0.0,2025-04-28 22:51:07,stop_230_31104,25,2025-04-28,1
251,block_405_trip_23_service_1,,49.93616485595703,19.752395629882812,0.0,0.0,2025-04-28 22:51:11,stop_768_109502,3,2025-04-28,1
